"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1968646975064002770","Thu Sep 18 12:03:12 +0000 2025","0","Hendrar Prihadi diberhentikan bersamaan dengan gonjang ganjing demo rusuh dan penjarahan publik menduga ada kaitan dengan kelompok tertentu PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646990020968892","","Wage_Esuk","in","","0","1","0","https://x.com/undefined/status/1968646990020968892","3046442101",
"1968646970869797245","Thu Sep 18 12:03:11 +0000 2025","0","Pasca demo chaos dan penjarahan tiba² Hendrar Prihadi out. Netizen cuma bisa nanya: kebetulan aja atau ada yang lebih dalem? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646984446742622","","Kuli_malam2","in","","0","1","0","https://x.com/undefined/status/1968646984446742622","1908535777086365701",
"1968646962971894079","Thu Sep 18 12:03:11 +0000 2025","0","Belum reda Budi Gunawan juga diberhentikan. Timingnya deket banget sama rusuh demo plus penjarahan. Publik mulai ngaitin titik-titik ini. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646983683314075","","gesyySendiri","in","","0","1","0","https://x.com/undefined/status/1968646983683314075","1926555771690422272",
"1968646968898380067","Thu Sep 18 12:03:10 +0000 2025","0","Mana timingnya menarik lagi setelah demo berubah ricuh + ada penjarahan. Publik mulai meraba-raba siapa yg diuntungkan dengan chaos? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646982378967401","","me_riyuka","in","","0","1","0","https://x.com/undefined/status/1968646982378967401","1656401131092967424",
"1968646953866051712","Thu Sep 18 12:03:08 +0000 2025","0","Penjarahan kemarin jadi momen bikin tanda tanya besar PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646971733725682","","masselaa_","in","","0","1","0","https://x.com/undefined/status/1968646971733725682","1122727263236055045",
"1968646947805299057","Thu Sep 18 12:03:04 +0000 2025","0","Dan anehnya setelah demo rusuh kemarin yang sampai chaos dan penjarahan muncul kabar pemberhentian BG sama Hendrar. Kok bisa timing-nya pas banget? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646955069763695","","gimesevn","in","","0","1","0","https://x.com/undefined/status/1968646955069763695","1923409130645303296",
"1968646940356186390","Thu Sep 18 12:03:03 +0000 2025","0","Demo chaos disertai penjarahan jadi latar panas reshuffle. Publik kepo: ada hubungannya nggak sih? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646950544150911","","ArieMerit45233","in","","0","1","0","https://x.com/undefined/status/1968646950544150911","1939239191000604672",
"1968646940586820051","Thu Sep 18 12:03:03 +0000 2025","0","Demo rusuh kemarin sampe penjarahan eh Hendrar Prihadi sama Budi Gunawan kena cabut. Timingnya bikin kepo ada apa ya? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646949772366132","","dreamjland","in","","0","1","0","https://x.com/undefined/status/1968646949772366132","874456621463748608",
"1968646940452692356","Thu Sep 18 12:03:02 +0000 2025","0","Yang rame malah abis demo rusuh kemarin. Ada penjarahan bikin warga shock. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646948216250497","","seruanhat1ku","in","","0","1","0","https://x.com/undefined/status/1968646948216250497","1917774419105390592",
"1968646928985358570","Thu Sep 18 12:03:01 +0000 2025","0","Di sisi lain kabar pemberhentian Hendrar Prihadi muncul pasca demo rusuh + penjarahan. Pas banget momennya. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646943535444023","","Qitara19","in","","0","1","0","https://x.com/undefined/status/1968646943535444023","1508567431291179010",
"1968646929463546328","Thu Sep 18 12:03:00 +0000 2025","0","Pasca demo rusuh sampe penjarahan Hendrar Prihadi sama Budi Gunawan kena pecat. Timingnya sus netizen nanya ada apa? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646940196753748","","dreamjland","in","","0","1","0","https://x.com/undefined/status/1968646940196753748","874456621463748608",
"1968646920160645334","Thu Sep 18 12:02:58 +0000 2025","0","Demo rusuh penjarahan chaos terus mendadak ada reshuffle. Apakah kebetulan beruntun? atau puzzle yang lagi kebuka dikit-dikit PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646929308389558","","AqeelaSant9568","in","","0","1","0","https://x.com/undefined/status/1968646929308389558","1934149722232762368",
"1968646913281941812","Thu Sep 18 12:02:57 +0000 2025","0","Demo rusuh penjarahan rakyat jadi korban. Publik wajar curiga: ada siapa di balik layar? Pertanyaan ini hak kita! PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646926657581308","","g0_nt3","in","","0","1","0","https://x.com/undefined/status/1968646926657581308","1926064138897293312",
"1968646906084487658","Thu Sep 18 12:02:55 +0000 2025","0","Demo rusuh plus penjarahan kemarin bikin banyak dugaan muncul. Publik wajar bertanya siapa sih yang diuntungkan dari kegaduhan itu? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646918893973683","","duniatri1","in","","0","1","0","https://x.com/undefined/status/1968646918893973683","1503859198710353921",
"1968646907720274396","Thu Sep 18 12:02:55 +0000 2025","0","Sementara itu Hendrar Prihadi dicopot. Publik jadi ngerasa aneh aja momennya pasca demo rusuh plus penjarahan. Kebetulan doang apa gimana ya? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646915504976291","","RadarPolitik___","in","","0","1","0","https://x.com/undefined/status/1968646915504976291","71103210",
"1968646906504007803","Thu Sep 18 12:02:52 +0000 2025","1","Chaos rusuh penjarahan semua bikin publik mikir jangan2 ada skenario tapi jawabannya jelas PRABOWO IN PDIP OUT #Bersih2AnasirMerah https://t.co/pFY25BEAIf","1968646906504007803","https://pbs.twimg.com/media/G1IJ7cibQAAJgtj.jpg","","in","","0","1","0","https://x.com/undefined/status/1968646906504007803","1957195516200243200",
"1968646870260920504","Thu Sep 18 12:02:50 +0000 2025","0","Barengan sama itu Budi Gunawan juga diberhentikan. Timingnya pas banget setelah demo ricuh + penjarahan. Publik ngerasa ini bukan kebetulan biasa. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968646898274746788","","gesyySendiri","in","","0","1","0","https://x.com/undefined/status/1968646898274746788","1926555771690422272",
